"","PCT_LACCESS_POP10","PCT_LACCESS_LOWI10","PCT_LACCESS_CHILD10","PCT_LACCESS_SENIORS10","PCT_LACCESS_HHNV10","PC_SNAPBEN10","PC_WIC_REDEMP12","PCT_SNAP14","SNAP_PART_RATE10","PCT_WIC14","PCT_CACFP14","PCT_NSLP14","PCT_FREE_LUNCH10","PCT_REDUCED_LUNCH10","PCT_SBP14","PCT_SFSP14","PCT_DIABETES_ADULTS10","PCT_OBESE_ADULTS10","PCT_OBESE_CHILD11","PCT_HSPA09","RECFACPTH12","VEG_ACRESPTH07","FRESHVEG_ACRESPTH07","ORCHARD_ACRESPTH07","BERRY_ACRESPTH07","PC_DIRSALES07","AGRITRSM_RCT07","GHVEG_SQFTPTH07","FMRKTPTH13","PCT_FMRKT_SNAP13","PCT_FMRKT_WIC13","PCT_FMRKT_WICCASH13","PCT_FMRKT_SFMNP13","FOODINSEC_10_12","VLFOODSEC_10_12","CH_VLFOODSEC_02_12","FOODINSEC_CHILD_03_11","MILK_PRICE10","SODA_PRICE10","MILK_SODA_PRICE10","SODATAX_STORES11","SODATAX_VENDM11","CHIPSTAX_STORES11","CHIPSTAX_VENDM11","FOOD_TAX11","FFRPTH12","FSRPTH12","PC_FFRSALES07","PC_FSRSALES07","GROCPTH12","SUPERCPTH12","PCH_SUPERCPTH_07_12","CONVSPTH12","SPECSPTH12","SNAPSPTH12","WICSPTH12","PCT_NHWHITE10","PCT_NHBLACK10","PCT_HISP10","PCT_NHASIAN10","PCT_NHNA10","PCT_NHPI10","PCT_65OLDER10","PCT_18YOUNGER10","MEDHHINC10","POVRATE10","CHILDPOVRATE10","Unemployment_rate_2012","P_NOHS","P_HSONLY","P_SOMECOLLEGE","P_BACHELORS"
"PCT_LACCESS_POP10",1,0.901974385049558,0.960289082179831,0.919664134003537,0.120455331130225,0.0444208586824191,0.0264254552670964,-0.0421920478512748,-0.000964790248117655,-0.0302469055714476,-0.0315099245197867,-0.0618375414073861,-0.0143220781706624,0.0191827330440525,-0.0311859565659079,-0.0546974833471785,-0.0156681007011672,0.0076974159299409,-0.0349861578655907,0.00276762176166616,0.00674290068034699,0.0507935445041114,-0.0427014722217662,-0.00398372026675146,-0.0256926312345166,0.0142627378508595,0.0599799439980513,-0.043688012614907,0.0763087262007651,-0.00934623019103083,-0.0422494617472579,-0.0392803191603909,-0.0430611554340482,-0.0805927996477472,-0.109528776304329,-0.179382434069454,-0.0107527157244527,-0.0374538577137117,0.220747587840086,-0.121666823709175,-0.0834645645952467,-0.0605391954491474,0.0401324067152857,-0.0358430870187667,0.0401324067152857,0.0115085865870159,0.0395477019883435,0.0129222347114931,0.0296092880989165,0.0453459016421982,-0.0337683519500199,-0.0132244824934514,-0.0237348575965868,-0.00574943599488648,-0.0103148115518363,-0.00414176488624565,-0.000689282828857815,0.00516766296282371,-0.00639362352761128,-0.0339328641258926,0.0148707489487945,-0.00321824016595492,-0.00139819892436027,0.00198249825511513,-0.020418215453599,-0.0119542204429709,0.00948480172555259,0.0201929923752611,-0.0214338408222838,0.0352961385390663,-0.00114810875436046,-0.0102638699226677
"PCT_LACCESS_LOWI10",0.901974385049558,1,0.890367775168194,0.826813809565816,0.278831021474404,0.0514629780151784,0.0323092925807696,-0.0267557313584763,0.00481010411531484,-0.00430887525754256,-0.0148237489293488,-0.0218231774458276,0.00135805508053149,0.0176400133898363,-0.00822186578856252,-0.0311828043927971,-0.00741535976213466,0.0319187198590791,-0.0479388210249468,0.0239916670962813,0.00333767999651313,0.0408217722199099,-0.0199913943912816,0.0143135426023873,-0.0204856635943365,-0.00669220837309496,0.0282785800060375,-0.0464929209529084,0.0485406248954443,-0.0182189810502058,-0.057033603264916,-0.0607987392718572,-0.0442368132488703,0.0370077023513969,-0.0113221120678474,-0.134370823127017,0.0916701576938024,-0.00755369374006425,0.19404266595525,-0.0848933242277012,-0.105572828299725,-0.0745374945348155,0.0981232329207967,-0.00263980772919337,0.0981232329207967,-0.00447609821913012,0.0186113672479756,-0.0151773170455823,-0.0161756979589289,0.0312544460240699,-0.031008076417979,-0.0171970486753997,-0.0317678836851966,-0.008620871205843,-0.0119439888975539,-0.0166286115139793,-0.0150164270617499,0.015663874427926,0.00830584770335036,-0.0462427012928873,0.014213544157317,-0.00753461307690406,-0.0118360802992434,0.0233882704176479,-0.0308415530505596,0.00375276135875885,0.0260610562378321,0.0209452583316286,-0.00881463532077855,0.0424971106468384,-0.00295449799792699,-0.0225771002577372
"PCT_LACCESS_CHILD10",0.960289082179831,0.890367775168194,1,0.823559442183563,0.162753603190935,0.0540286218728324,0.0201355810922551,-0.0478268377561117,0.00503307252240748,-0.0292400378689288,-0.0344008438442442,-0.0473236281507786,-0.0136854274974812,0.0169358049383525,-0.0332934080556818,-0.0560158952178595,-0.0193059139938487,0.00973601448157849,-0.0470147691837723,-0.0114077878945798,-0.00424372652634459,0.0502265611044015,-0.0307345604699677,-0.000994783206114595,-0.0238515426032484,0.0163097178181395,0.0496770579472951,-0.0555835156412062,0.0573905926815911,-0.0156170946455126,-0.0538327598360857,-0.043592828290751,-0.045190376821706,-0.0546234255195714,-0.0920658299271965,-0.179503124449032,0.00992653223171719,-0.0516751424345099,0.210421533136245,-0.130598716629249,-0.0802916362059453,-0.0554920756880548,0.0660699084853517,-0.0148812498308427,0.0660699084853517,0.00413408387564009,0.0296442956505936,-0.0010558538598144,0.0139527649175965,0.0474478688645038,-0.0360350899521722,-0.0108054151842194,-0.0295563697710722,-0.0087220281153848,-0.00118855547788505,0.0063856902820564,-0.00263336010990636,0.00113700210676461,-0.00343186251593374,-0.0440933780707677,0.0254881409069246,-0.0011814425468249,-0.00498988762478086,0.0227262283540461,-0.0205879461193035,-0.0112027444208538,0.0131900697279667,0.019704648142346,-0.0225288309394174,0.0383251376734847,0.00284098456839208,-0.0152054336053562
"PCT_LACCESS_SENIORS10",0.919664134003537,0.826813809565816,0.823559442183563,1,0.0436461080843087,0.0324718976004148,0.00733262183731596,-0.0262100049593616,0.00859507352166652,-0.0434057975089454,-0.0348982132724109,-0.0704430551358401,-0.018171140199551,0.023115317943079,-0.0341457950995624,-0.0426763465605917,-0.00607863819566433,0.00959794554723638,-0.0285877210705324,0.00895341340864943,0.0262853629057522,0.0548339334281211,-0.042908477288715,-0.0107917336512599,-0.0262873942255596,0.0212245807207359,0.0518786857958593,-0.0220616766321862,0.100623797437586,-0.0199400794412953,-0.0421146078004263,-0.0385347412272921,-0.0372439373704776,-0.111531420451061,-0.117733602157762,-0.154958795727066,-0.0402052269100944,-0.0331428043798709,0.225635273769319,-0.120259991996835,-0.0663592333711982,-0.0383930367703538,0.0299575836684807,-0.0271603821076196,0.0299575836684807,0.0109970277047473,0.0348375230096257,0.0107880888565159,0.0317137368319342,0.0227324173726665,-0.0222589871421318,-0.00572244975839277,-0.0233057646814986,-0.000265607733615536,-0.0326177575864852,-0.0316597934902691,0.0182019690445028,0.00628821749084404,-0.0152739666459881,-0.041826092317475,-0.0150648337055737,-0.00847393981973499,0.00981537427790966,-0.0174865457935082,-0.0275489510295984,-0.0248635466493512,0.0156739084044335,0.0209547027407348,-0.0175920145451108,0.0431033300752164,-0.0127035392001719,-0.010618789166548
"PCT_LACCESS_HHNV10",0.120455331130225,0.278831021474404,0.162753603190935,0.0436461080843087,1,0.0395050418332104,0.133470561438031,-0.00647437863456632,0.00942172255223198,0.0169048752399063,0.0255336724517176,-0.00964853366202835,0.00585290012324771,-0.00366321505616373,-0.0331902097836135,0.0507594067078246,-0.0120796341298383,0.0573085490136242,-0.0119489408873176,-0.0452109823021109,-0.0414513447840811,-0.0486848293254286,-0.0303923789081696,-0.0344646796021551,0.0131555037422012,-0.0756616608213145,-0.0821556794681004,-0.028710801042217,-0.0274501273084788,-0.0157815479155443,-0.020904916267297,-0.00771854226276409,0.00899491879727783,0.0903265140456739,0.0394363764548094,0.00560123674153653,0.0419489994572364,0.176792070891824,-0.201249387908379,0.240390770531026,-0.104318981756641,-0.10079691063214,0.0320687941737009,-0.0276616663165483,0.0320687941737009,-0.0625189800641065,0.017650860018663,-0.0692959010212837,-0.0315106228861068,0.0848175618873871,-0.0199489977995017,-0.00567316517577305,-0.039231256195691,-0.0171068739096469,0.0858966449743134,0.119322917514961,-0.0732248854493157,0.00964838890977255,-0.0131561350216844,0.026493879006635,0.168492285858988,0.0186947858577621,-0.0182697475312822,0.0142541809462179,0.0168627497159171,0.0586031376997993,0.0466924569615093,0.0306102343367208,-0.011917970260512,-0.00987194901718918,0.0346871960708453,-0.0012362557003985
"PC_SNAPBEN10",0.0444208586824191,0.0514629780151784,0.0540286218728324,0.0324718976004148,0.0395050418332104,1,0.656527679840189,0.497347528732466,0.211991403838582,0.218073222126478,-0.00153933749053568,0.101995071038318,0.764415766048252,-0.166380245640937,0.359415068005508,0.0729415445796541,0.55844163440303,0.479749476239208,0.128231332118007,-0.270231767558992,-0.257081821439951,0.00117772068406736,-0.010952881558354,-0.0164119853672409,-0.0158966326601535,-0.0424068339960834,0.0196016126880377,-0.0288244840800987,-0.0202827576139294,0.00241149575724312,-0.00351252439403751,0.0197731471402873,-0.0108454226593217,0.0302686962616981,0.0416886635268322,-0.00960105592401386,0.0123735499293414,-0.0370129507418391,-0.0683351566143741,-0.0103943974061283,-0.0233071182613391,-0.00795896979096113,0.0210101352787895,-0.0102378291156945,0.0210101352787895,-0.0741853874429183,-0.314926625757584,0.150303334641096,-0.0696575139182108,-0.0216591657856652,0.0680655638537105,-0.0624167053713788,0.183070000700654,-0.184704183352463,0.594580367484836,0.123705560699478,-0.451894800334787,0.460681916734429,0.0236757157735009,-0.150338333844709,0.311037334973883,0.00697160516555346,-0.136917381396574,0.191358813430789,-0.668870818488115,0.129981738777588,0.556643910348484,0.592736319417069,0.585957219273083,0.219391470715621,-0.344863688473041,-0.469509803865341
"PC_WIC_REDEMP12",0.0264254552670964,0.0323092925807696,0.0201355810922551,0.00733262183731596,0.133470561438031,0.656527679840189,1,0.160830089487722,-0.0999330987669003,0.311848492121043,0.162051033135786,0.114978573614077,0.620940623323037,0.0480338988119847,0.249417250182874,-0.00537718791900479,0.307826155348185,0.344925091140329,0.198229847783019,-0.0695295605223718,-0.225050426046666,0.00626787580825777,-0.00409375043181097,0.0361979801129592,-0.00352835662006977,-0.0735032590514448,0.00253961003849633,0.00745333831091689,-0.0297496035207021,-0.0167195362294679,-0.00496000061000157,-0.00109723504545504,-0.0106810591382103,0.0530806079265977,0.0736529983589581,0.0852355634492409,0.0070138361497081,0.0250761545712004,-0.00561385364964612,0.0223569276999109,-0.0618198720438245,-0.0860814419221355,-0.0481543182364246,-0.0738418157909608,-0.0481543182364246,0.0268302284163945,-0.209291851343741,0.205916420710452,0.000229358960040232,0.206014785804583,0.143361590466344,-0.0639413216261344,0.185691905215743,-0.131038881782722,0.47532265853932,0.318959439861412,-0.556260557046626,0.305413360410741,0.271277103965046,-0.0297636112415502,0.42544596097987,0.0474165274921035,-0.17434068114735,0.374349124321893,-0.463777605203465,0.0268674937394828,0.322599281343663,0.365585260422454,0.538843824672843,0.0394254134459489,-0.13446234653349,-0.377901843376664
"PCT_SNAP14",-0.0421920478512748,-0.0267557313584763,-0.0478268377561117,-0.0262100049593616,-0.00647437863456632,0.497347528732466,0.160830089487722,1,0.416776395672594,0.430985373840924,-0.115537874389549,0.0829763532352629,0.519020599214407,-0.215731790666714,0.608933937518953,0.269037365489718,0.529922558939641,0.360897798936148,0.0973532198893614,-0.258080426318616,-0.166031100697828,0.0286185024202684,0.0294389962980607,0.0233466232463132,0.0288197718291069,-0.0436427235504586,0.0180795605894559,-0.0104754996253832,-0.0224167505483568,-0.0449652811315972,0.00550455485244718,0.0151011406759226,-0.0442403933175213,0.120196654395312,0.0960997033410321,-0.00679630567534496,0.0473011946940054,0.00412674809295732,-0.0719944271172019,0.037329850029878,0.101314504605707,0.0691787101053813,0.0494872391105315,0.0692048723134398,0.0494872391105315,-0.0286127433502009,-0.27428627488027,0.114269792490576,-0.17039713023279,-0.242415306712541,0.0899999893464161,0.0219482465418684,0.0602084043851456,-0.146117432345958,0.276211918304259,-0.222397717557701,-0.176400425314129,0.369760339136125,-0.056055608100846,-0.0975902866995755,-0.0975820032858693,-0.0187888961307301,-0.118558667978275,-0.0295498296896137,-0.374438052172109,0.0112741082839684,0.3369116760842,0.462953728986133,0.411454426850311,0.221011041147638,-0.379584804431902,-0.247666831367789
"SNAP_PART_RATE10",-0.000964790248117655,0.00481010411531484,0.00503307252240748,0.00859507352166652,0.00942172255223198,0.211991403838582,-0.0999330987669003,0.416776395672594,1,-0.324101244823802,-0.284899370183791,-0.189250567588623,0.0149536712297995,-0.0662708811884775,-0.153549027411088,0.0815111574860218,0.137156034791366,0.172586090246839,0.0110977699336787,-0.209636103945292,0.00796891659961758,0.0176659217587133,-0.0266964190733819,-0.090267269538805,0.0110416851768974,-0.0195039807432586,-0.135226886534294,-0.00883561446830358,0.0175657225166225,-0.0337503680395019,-0.024749236367658,0.0288744608219382,-0.037746261714139,-0.100787190201429,-0.0712591601873798,-0.0682101730351026,-0.165170634792802,-0.0316988053789187,-0.0430200837813406,-0.00593418402547349,-0.0445069749969842,0.0846563195128808,0.132013521845554,0.0395955013459515,0.132013521845554,-0.0624700726454177,-0.013610180496329,-0.372079860410549,-0.151680335586484,-0.0348350647547839,0.106170857715027,0.031971219145136,0.032482509074781,0.0197738984235635,0.138298871773445,0.0670446440761507,0.331798546160956,-0.0751979799800717,-0.377002041031727,-0.161044387822815,-0.0103214820245096,-0.0407261191592437,0.0883378367612566,-0.142013661909,-0.108416562572866,-0.0795846420355163,0.00727588250997901,0.108224997174475,-0.116649823364837,0.250860621275289,-0.0882637333538516,-0.0593305104204491
"PCT_WIC14",-0.0302469055714476,-0.00430887525754256,-0.0292400378689288,-0.0434057975089454,0.0169048752399063,0.218073222126478,0.311848492121043,0.430985373840924,-0.324101244823802,1,0.263870214572404,0.413944247645662,0.414459230527515,-0.0213676184937105,0.764527947355593,0.0503118314666067,0.266947275859112,0.16676803271507,0.121496697954287,0.225601834309191,-0.191099563635454,0.012854733254906,0.0326803153480278,0.0962473951272021,0.0147777727618039,-0.0403678021189075,0.154246273627698,-0.015022384337627,-0.114326738875469,-0.0166490298413695,0.044817269624548,-0.0151161957833978,-0.0100474666278399,0.37539354328776,0.264054589819461,0.0757520152123548,0.389594288149866,0.0780749152048829,-0.00392300497553897,0.0674634345741763,0.203048166775917,0.0884948080872014,-0.0916190499510398,0.0763329370122302,-0.0916190499510398,-0.0228402425826671,-0.219189958858906,0.468676157197167,-0.124501811177022,-0.118055729518868,-0.0104889083098153,-0.047357315890929,0.0636812033673385,-0.150971832877776,0.128908660194476,-0.125280499584039,-0.417576891891276,0.165814931530352,0.424984652332389,0.0401016921407143,0.0129247405966269,0.0116530443941188,-0.136386039743982,0.216218194288046,-0.242018105178324,0.00148059896399708,0.231561902802509,0.219231690649004,0.457491212254617,-0.0775925884117456,-0.0954948792149314,-0.215624866205096
